model,task,signal,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,spearman_r,spearman_ci_low,spearman_ci_high,spearman_p,ordered_logit_coef,ordered_logit_p
14B,webquestions,head,direct_em,39,0.0155,-0.2869,0.2955,0.9253,-0.0247,-0.3206,0.3001,0.8814,,
14B,webquestions,head,thought_gap_sign,39,0.2102,-0.0638,0.4522,0.199,0.2132,-0.1234,0.4873,0.1926,0.6921,0.1765
14B,webquestions,min,direct_em,40,-0.025,-0.3358,0.2557,0.8781,-0.0685,-0.3606,0.2544,0.6744,,
14B,webquestions,min,thought_gap_sign,40,0.2153,-0.0494,0.4497,0.1822,0.2193,-0.0983,0.4804,0.1739,0.7044,0.1626
32B,webquestions,head,direct_em,39,0.129,-0.2059,0.4977,0.4337,0.2185,-0.1237,0.5198,0.1815,,
32B,webquestions,head,thought_gap_sign,39,-0.0546,-0.3483,0.2505,0.7414,-0.0715,-0.4021,0.2796,0.6652,-0.1575,0.7024
32B,webquestions,min,direct_em,40,0.1759,-0.1842,0.5555,0.2775,0.2588,-0.0867,0.5666,0.1068,,
32B,webquestions,min,thought_gap_sign,40,-0.0629,-0.3644,0.2272,0.6999,-0.0809,-0.3996,0.2502,0.6198,-0.179,0.6556
V3,webquestions,head,direct_em,39,0.1444,-0.1687,0.3972,0.3805,0.1241,-0.2318,0.4387,0.4515,,
V3,webquestions,head,thought_gap_sign,39,0.0872,-0.1247,0.2675,0.5976,0.0,-0.2561,0.25,1.0,0.3202,0.588
V3,webquestions,min,direct_em,40,0.1744,-0.1107,0.4268,0.2819,0.1624,-0.1541,0.4546,0.3166,,
V3,webquestions,min,thought_gap_sign,40,0.1138,-0.0901,0.3047,0.4842,0.0485,-0.1935,0.2998,0.7662,0.4182,0.475
14B,triviaqa,head,direct_em,42,0.1659,-0.1679,0.4614,0.2936,0.1445,-0.1991,0.4492,0.3613,,
14B,triviaqa,head,thought_gap_sign,42,0.066,-0.2485,0.3561,0.6781,0.0688,-0.2599,0.3754,0.6649,0.1724,0.6695
14B,triviaqa,min,direct_em,43,0.0888,-0.1937,0.3697,0.5711,0.104,-0.2023,0.3917,0.5069,,
14B,triviaqa,min,thought_gap_sign,43,-0.0972,-0.3821,0.2203,0.5351,0.0124,-0.3066,0.3229,0.937,-0.1933,0.5913
32B,triviaqa,head,direct_em,42,0.294,-0.0352,0.573,0.0588,0.3021,-0.0321,0.5912,0.0518,,
32B,triviaqa,head,thought_gap_sign,42,0.0442,-0.2391,0.3078,0.7809,0.0322,-0.2545,0.3119,0.8395,0.1074,0.7899
